GEOID,NAME,variable,estimate,moe,High_Error
1753234,"Normal town, Illinois",B25024_009,1309,287,FALSE
1754820,"Oak Lawn village, Illinois",B25024_009,434,145,TRUE
1754885,"Oak Park village, Illinois",B25024_009,3048,398,FALSE
1756640,"Orland Park village, Illinois",B25024_009,648,198,FALSE
1757225,"Palatine village, Illinois",B25024_009,2024,337,FALSE
1759000,"Peoria city, Illinois",B25024_009,3167,353,FALSE
1765000,"Rockford city, Illinois",B25024_009,3729,390,FALSE
1768003,"Schaumburg village, Illinois",B25024_009,3781,488,FALSE
1770122,"Skokie village, Illinois",B25024_009,1997,305,FALSE
1772000,"Springfield city, Illinois",B25024_009,3167,355,FALSE
1775484,"Tinley Park village, Illinois",B25024_009,596,250,TRUE
1779293,"Waukegan city, Illinois",B25024_009,2681,432,FALSE
1781048,"Wheaton city, Illinois",B25024_009,1768,305,FALSE
1801468,"Anderson city, Indiana",B25024_009,685,148,FALSE
1805860,"Bloomington city, Indiana",B25024_009,3006,446,FALSE
1810342,"Carmel city, Indiana",B25024_009,1983,377,FALSE
1814734,"Columbus city, Indiana",B25024_009,1404,289,FALSE
1820728,"Elkhart city, Indiana",B25024_009,1169,337,FALSE
1822000,"Evansville city, Indiana",B25024_009,2298,318,FALSE
1823278,"Fishers city, Indiana",B25024_009,1803,392,FALSE
1825000,"Fort Wayne city, Indiana",B25024_009,4435,497,FALSE
1827000,"Gary city, Indiana",B25024_009,1300,284,FALSE
1829898,"Greenwood city, Indiana",B25024_009,948,301,FALSE
1831000,"Hammond city, Indiana",B25024_009,1060,265,FALSE
1836003,"Indianapolis city (balance), Indiana",B25024_009,20703,1168,FALSE
1840392,"Kokomo city, Indiana",B25024_009,1173,256,FALSE
1840788,"Lafayette city, Indiana",B25024_009,1131,309,FALSE
1849932,"Mishawaka city, Indiana",B25024_009,1557,293,FALSE
1851876,"Muncie city, Indiana",B25024_009,1079,263,FALSE
1854180,"Noblesville city, Indiana",B25024_009,326,198,TRUE
1871000,"South Bend city, Indiana",B25024_009,1871,239,FALSE
1875428,"Terre Haute city, Indiana",B25024_009,1631,335,FALSE
1901855,"Ames city, Iowa",B25024_009,2093,374,FALSE
1902305,"Ankeny city, Iowa",B25024_009,874,342,TRUE
1912000,"Cedar Rapids city, Iowa",B25024_009,2456,375,FALSE
1916860,"Council Bluffs city, Iowa",B25024_009,1107,190,FALSE
1919000,"Davenport city, Iowa",B25024_009,1831,258,FALSE
1921000,"Des Moines city, Iowa",B25024_009,7509,706,FALSE
1922395,"Dubuque city, Iowa",B25024_009,1260,252,FALSE
1938595,"Iowa City city, Iowa",B25024_009,2529,347,FALSE
1973335,"Sioux City city, Iowa",B25024_009,1317,280,FALSE
1982425,"Waterloo city, Iowa",B25024_009,1605,258,FALSE
1983910,"West Des Moines city, Iowa",B25024_009,2551,425,FALSE
2036000,"Kansas City city, Kansas",B25024_009,2942,361,FALSE
2038900,"Lawrence city, Kansas",B25024_009,2197,449,FALSE
2039350,"Lenexa city, Kansas",B25024_009,1548,256,FALSE
2044250,"Manhattan city, Kansas",B25024_009,543,180,TRUE
2052575,"Olathe city, Kansas",B25024_009,1753,404,FALSE
2053775,"Overland Park city, Kansas",B25024_009,5422,616,FALSE
2064500,"Shawnee city, Kansas",B25024_009,458,277,TRUE
2071000,"Topeka city, Kansas",B25024_009,2294,383,FALSE
2079000,"Wichita city, Kansas",B25024_009,7713,664,FALSE
2108902,"Bowling Green city, Kentucky",B25024_009,1109,311,FALSE
2146027,"Lexington-Fayette urban county, Kentucky",B25024_009,7446,624,FALSE
2148006,"Louisville/Jefferson County metro government (balance), Kentucky",B25024_009,12664,953,FALSE
2158620,"Owensboro city, Kentucky",B25024_009,810,226,FALSE
2205000,"Baton Rouge city, Louisiana",B25024_009,10810,881,FALSE
2208920,"Bossier City city, Louisiana",B25024_009,427,135,FALSE
2239475,"Kenner city, Louisiana",B25024_009,1038,299,FALSE
2240735,"Lafayette city, Louisiana",B25024_009,2199,371,FALSE
2241155,"Lake Charles city, Louisiana",B25024_009,1185,320,FALSE
2250115,"Metairie CDP, Louisiana",B25024_009,5073,715,FALSE
2255000,"New Orleans city, Louisiana",B25024_009,15911,899,FALSE
2270000,"Shreveport city, Louisiana",B25024_009,4048,559,FALSE
2360545,"Portland city, Maine",B25024_009,3794,421,FALSE
2402825,"Aspen Hill CDP, Maryland",B25024_009,438,164,TRUE
2404000,"Baltimore city, Maryland",B25024_009,32936,1241,FALSE
2405950,"Bel Air South CDP, Maryland",B25024_009,572,125,FALSE
2407125,"Bethesda CDP, Maryland",B25024_009,9662,443,FALSE
2408775,"Bowie city, Maryland",B25024_009,748,142,FALSE
2419125,"Columbia CDP, Maryland",B25024_009,3649,565,FALSE
2423975,"Dundalk CDP, Maryland",B25024_009,735,207,FALSE
2426000,"Ellicott City CDP, Maryland",B25024_009,1413,288,FALSE
2430325,"Frederick city, Maryland",B25024_009,1754,348,FALSE
2431175,"Gaithersburg city, Maryland",B25024_009,4316,449,FALSE
2432025,"Germantown CDP, Maryland",B25024_009,1041,263,FALSE
